 Численность городского населения по полу и возрасту на 1 января текущего года 1) , человек, Город Киров, на 1 января, Городские округа Кировской области, Городской округ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Всего;;;;;;;;;;;;Женщины;;;;;;;;;;;;Мужчины;;;;;;;;;;;;
47;5828;5407;5167;5006;4958;5154;5687;6084;6523;6645;6336;7089;3174;2913;2917;2762;2670;2811;3087;3324;3508;3566;3421;3830;2654;2494;2250;2244;2288;2343;2600;2760;3015;3079;2915;3259;
48;6354;5788;5353;5163;4972;4948;5147;5693;6060;6528;5797;6310;3450;3155;2906;2921;2765;2665;2816;3091;3335;3512;3132;3415;2904;2633;2447;2242;2207;2283;2331;2602;2725;3016;2665;2895;
49;6523;6332;5731;5338;5148;4965;4916;5125;5689;6036;5833;5768;3697;3440;3148;2905;2925;2763;2662;2805;3086;3336;3133;3129;2826;2892;2583;2433;2223;2202;2254;2320;2603;2700;2700;2639;
50;7333;6476;6292;5704;5310;5123;4948;4909;5102;5708;5385;5785;4224;3680;3429;3143;2905;2941;2774;2680;2815;3117;2936;3122;3109;2796;2863;2561;2405;2182;2174;2229;2287;2591;2449;2663;
51;7543;7261;6387;6261;5659;5276;5102;4922;4887;5098;5647;5354;4317;4197;3655;3436;3133;2893;2947;2765;2670;2826;3066;2936;3226;3064;2732;2825;2526;2383;2155;2157;2217;2272;2581;2418;
52;7714;7481;7183;6354;6194;5652;5249;5090;4921;4862;4598;5633;4410;4299;4190;3653;3416;3141;2890;2951;2788;2673;2546;3081;3304;3182;2993;2701;2778;2511;2359;2139;2133;2189;2052;2552;
53;7565;7636;7367;7169;6294;6150;5609;5196;5059;4895;4641;4571;4406;4386;4271;4193;3650;3423;3138;2868;2951;2789;2524;2545;3159;3250;3096;2976;2644;2727;2471;2328;2108;2106;2117;2026;
54;7567;7470;7562;7301;7102;6251;6108;5588;5192;5039;4295;4626;4366;4389;4385;4260;4182;3653;3431;3153;2897;2953;2441;2530;3201;3081;3177;3041;2920;2598;2677;2435;2295;2086;1854;2096;
55;6941;7473;7374;7499;7229;7035;6221;6054;5553;5158;4590;4267;3988;4327;4378;4380;4235;4171;3644;3423;3158;2888;2650;2434;2953;3146;2996;3119;2994;2864;2577;2631;2395;2270;1940;1833;
56;7458;6876;7390;7350;7401;7185;7013;6229;6031;5519;5181;4579;4384;3975;4303;4383;4343;4237;4175;3670;3428;3138;2949;2645;3074;2901;3087;2967;3058;2948;2838;2559;2603;2381;2232;1934;
57;7357;7387;6816;7323;7246;7342;7166;6989;6191;5994;5006;5140;4352;4365;3977;4303;4364;4336;4254;4189;3661;3442;2945;2959;3005;3022;2839;3020;2882;3006;2912;2800;2530;2552;2061;2181;
58;6743;7259;7275;6763;7271;7184;7290;7101;6935;6136;5377;4953;3985;4316;4333;3971;4293;4356;4334;4257;4175;3645;3011;2940;2758;2943;2942;2792;2978;2828;2956;2844;2760;2491;2366;2013;
59;6879;6644;7185;7203;6667;7188;7078;7218;7047;6858;5436;5327;4142;3947;4299;4322;3952;4275;4328;4323;4239;4168;3247;3010;2737;2697;2886;2881;2715;2913;2750;2895;2808;2690;2189;2317;
60;6704;6751;6555;7095;7101;6596;7130;7023;7124;6967;6211;5363;4008;4096;3924;4276;4303;3938;4268;4332;4313;4221;3680;3238;2696;2655;2631;2819;2798;2658;2862;2691;2811;2746;2531;2125;
61;6489;6578;6662;6458;6993;6991;6514;7042;6958;7024;6831;6154;3903;3970;4073;3916;4257;4279;3923;4245;4325;4284;3912;3672;2586;2608;2589;2542;2736;2712;2591;2797;2633;2740;2919;2482;
62;6603;6372;6423;6555;6350;6883;6919;6424;6957;6870;6238;6761;3884;3874;3925;4045;3889;4229;4277;3908;4233;4293;3927;3909;2719;2498;2498;2510;2461;2654;2642;2516;2724;2577;2311;2852;
63;5177;6445;6220;6358;6465;6279;6798;6843;6341;6875;6236;6170;3125;3836;3821;3918;4028;3875;4220;4252;3907;4225;4042;3918;2052;2609;2399;2440;2437;2404;2578;2591;2434;2650;2194;2252;
64;5447;5064;6309;6102;6234;6359;6175;6723;6740;6208;6250;6152;3254;3096;3798;3790;3877;3999;3852;4200;4220;3872;3996;4019;2193;1968;2511;2312;2357;2360;2323;2523;2520;2336;2254;2133;
65;4494;5323;4955;6216;5986;6139;6220;6084;6647;6620;5595;6167;2722;3214;3066;3775;3762;3864;3947;3831;4186;4186;3566;3977;1772;2109;1889;2441;2224;2275;2273;2253;2461;2434;2029;2190;
66;2292;4390;5203;4863;6083;5888;6051;6116;5988;6528;5913;5509;1387;2694;3180;3041;3728;3724;3837;3926;3807;4158;3863;3555;905;1696;2023;1822;2355;2164;2214;2190;2181;2370;2050;1954;
67;1511;2226;4301;5129;4739;5947;5810;5925;5993;5881;5653;5798;961;1361;2652;3167;2992;3683;3707;3803;3880;3764;3744;3815;550;865;1649;1962;1747;2264;2103;2122;2113;2117;1909;1983;
68;1123;1461;2156;4216;5000;4649;5824;5693;5800;5823;5060;5517;694;937;1341;2630;3112;2961;3644;3672;3766;3819;3360;3709;429;524;815;1586;1888;1688;2180;2021;2034;2004;1700;1808;
69;2077;1094;1421;2104;4089;4873;4553;5694;5577;5607;4985;4941;1361;684;923;1331;2580;3068;2932;3609;3641;3691;3355;3323;716;410;498;773;1509;1805;1621;2085;1936;1916;1630;1618;
70-74;19894;17166;13883;10964;9508;9991;12695;15815;19774;22749;;;13566;11748;9533;7508;6407;6569;8262;10375;12968;15075;;;6328;5418;4350;3456;3101;3422;4433;5440;6806;7674;;;
75-79;12759;13746;14641;15727;16026;16108;14020;11406;9010;7667;;;9242;9926;10517;11374;11649;11721;10223;8316;6563;5547;;;3517;3820;4124;4353;4377;4387;3797;3090;2447;2120;;;
80-84 года;9908;9921;9440;9153;8850;8930;9826;10600;11499;11597;10702;9312;7730;7757;7422;7172;6894;6905;7536;8123;8838;8995;8242;7169;2178;2164;2018;1981;1956;2025;2290;2477;2661;2602;2460;2143;
85-89 лет;4467;4849;5225;5387;5624;5607;5619;5358;5192;4842;4208;4607;3670;3933;4226;4348;4581;4587;4618;4372;4241;3953;3385;3694;797;916;999;1039;1043;1020;1001;986;951;889;823;913;
90-94 года;1011;1121;1208;1389;1574;1801;1905;1998;2069;2111;1608;1438;852;964;1060;1218;1358;1538;1624;1695;1746;1787;1318;1187;159;157;148;171;216;263;281;303;323;324;290;251;
95-99 лет;179;167;188;200;200;218;274;307;333;335;266;220;158;140;154;161;165;191;235;272;297;305;227;179;21;27;34;39;35;27;39;35;36;30;39;41;
100 и более лет;12;13;19;26;24;30;20;21;26;40;25;23;11;12;16;19;16;22;14;14;16;28;21;20;1;1;3;7;8;8;6;7;10;12;4;3;
